ORGANISM_CODE,ORGANISM_NAME,ORGANISM_TYPE,ORGANISM_TYPE_DESCRIPTION,IS_COMMON,EXTRACTION_DATE,DATA_SOURCE
PPM,Pseudomonas pseudomallei,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
PPN,Pasteurella pneumotropica,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
PPO,Pediococcus pentosaceus,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
PPP,Peptostreptococcus prevotii,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
PPP,Anaerococcus prevotii,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
PPR,Arachnia propionica,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
PPR,Pseudopropionibacterium propionicum,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
PPR,Propionibacterium propionicum,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
PPS,Peptococcus saccharolyticus,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
PPS,Staphylococcus saccharolyticus,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
PPT,Peptostreptococcus sp.,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
PPU,Pseudomonas putida,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
PPV,Pediococcus parvulus,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
PPY,Paraphyton sp.,f,Fungus,No,2025-05-26,WHONET Organisms.txt
PR-,Proteus sp.,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
PRB,Prevotella ruminicola ss. brevis,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
PRB,Prevotella brevis,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
PRB,Bacteroides ruminicola ss. brevis,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
PRC,Prototheca sp.,f,Fungus,No,2025-05-26,WHONET Organisms.txt
PRE,Providencia rettgeri,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
PRE,Proteus rettgeri,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
PRG,Providencia rustigianii,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
PRK,Piscirickettsia sp.,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
PRN,Propionigenium sp.,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
PRO,Cutibacterium acnes,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
PRO,Propionibacterium acnes,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
PRP,Propionibacterium sp.,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
PRS,Propionispira sp.,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
PRT,Prevotella sp.,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
PRU,Bacteroides ruminicola ss. ruminicola,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
PRU,Prevotella ruminicola,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
PRU,Prevotella ruminicola ss. ruminicola,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
PRU,Bacteroides ruminicola,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
PRV,Providencia sp.,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
PS-,Pseudomonas sp.,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
PSA,Pseudallescheria sp.,f,Fungus,No,2025-05-26,WHONET Organisms.txt
PSC,Pseudochaetosphaeronema sp.,f,Fungus,No,2025-05-26,WHONET Organisms.txt
PSD,Staphylococcus pseudintermedius,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
PSE,Pseudomonas anguilliseptica,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
PSG,Prototheca stagnorum,f,Fungus,No,2025-05-26,WHONET Organisms.txt
PSH,Plesiomonas shigelloides,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
PSI,Vogesella indigofera,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
PSI,Pseudomonas indigofera,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
PSL,Spilopsyllus sp.,i,Unknown,No,2025-05-26,WHONET Organisms.txt
PSM,Pasteurella stomatis,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
PSP,Pasteurella multocida ss. septica,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
PSP,Pasteurella septica,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
PSR,Pseudomonas gessardii,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
PSS,Passalurus sp.,w,Other,No,2025-05-26,WHONET Organisms.txt
PST,Providencia stuartii,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
PSU,Providencia stuartii urea +,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
PSY,Psychrobacter sp.,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
PSZ,CDC Vb-1,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
PSZ,Pseudomonas stutzeri,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
PTA,Prevotella tannerae,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
PTE,Anaerococcus tetradius,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
PTE,Peptostreptococcus tetradius,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
PTH,Propionibacterium thoenii,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
PTR,Bibersteinia trehalosi,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
PTR,Pasteurella trehalosi,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
PTS,Pasteurella testudinis,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
PTY,Salmonella Paratyphi,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
PUP,Pseudopropionibacterium sp.,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
PVA,Peptostreptococcus vaginalis,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
PVA,Anaerococcus vaginalis,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
PVC,Phialophora verrucosa,f,Fungus,No,2025-05-26,WHONET Organisms.txt
PVD,Pseudomonas viridiflava,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
PVE,Brevundimonas vesicularis,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
PVE,Pseudomonas vesicularis,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
PVI,Plasmodium vivax,w,Other,No,2025-05-26,WHONET Organisms.txt
PVM,Parvimonas sp.,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
PVO,Avibacterium volantium,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
PVO,Pasteurella volantium,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
PVR,Prevotella veroralis,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
PVU,Proteus vulgaris,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
PWE,Paragonimus westermani,w,Other,No,2025-05-26,WHONET Organisms.txt
PWI,Prototheca wickerhamii,f,Fungus,No,2025-05-26,WHONET Organisms.txt
PWR,Cladosporium werneckii,f,Fungus,No,2025-05-26,WHONET Organisms.txt
PWR,Phaeoannellomyces werneckii,f,Fungus,No,2025-05-26,WHONET Organisms.txt
PWR,Exophiala werneckii,f,Fungus,No,2025-05-26,WHONET Organisms.txt
PWR,Hortaea werneckii,f,Fungus,No,2025-05-26,WHONET Organisms.txt
PYT,Pythium sp.,w,Other,No,2025-05-26,WHONET Organisms.txt
PZG,Prevotella zoogleoformans,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
PZO,Prototheca zopfii,f,Fungus,No,2025-05-26,WHONET Organisms.txt
RAC,Ramichloridium sp.,f,Fungus,No,2025-05-26,WHONET Organisms.txt
RAH,Rahnella sp.,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
RAK,Rickettsia akari,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
RAL,Ralstonia sp.,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
RAM,Ramularia sp.,f,Fungus,No,2025-05-26,WHONET Organisms.txt
RAN,Riemerella anatipestifer,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
RAN,Pasteurella anatipestifer,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
RAN,Pfeifferella anatipestifer,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
RAO,Raoultella sp.,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
RAQ,Rahnella aquatilis,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
RAR,Rhizopus arrhizus,f,Fungus,No,2025-05-26,WHONET Organisms.txt
RAS,Rhinocladiella aquaspersa,f,Fungus,No,2025-05-26,WHONET Organisms.txt
RAV,Rabies virus,v,Unknown,No,2025-05-26,WHONET Organisms.txt
RCE,Roseomonas cervicalis,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
RCO,Rickettsia conorii,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
RDE,Rothia dentocariosa,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
REJ,Rejected sample,,Unknown,No,2025-05-26,WHONET Organisms.txt
REN,Renibacterium sp.,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
REQ,Corynebacterium equi,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
REQ,Rhodococcus equi,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
RES,Renibacterium salmoninarum,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
RET,Retortamonas sp.,w,Other,No,2025-05-26,WHONET Organisms.txt
REU,Ralstonia euphora,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
REV,Reovirus,v,Unknown,No,2025-05-26,WHONET Organisms.txt
RFA,Roseomonas fauriae,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
RFA,Azospirillum brasilense,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
RGI,Roseomonas gilardii,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
RGL,Rhodotorula glutinis,f,Fungus,No,2025-05-26,WHONET Organisms.txt
RHA,Ruminococcus hansenii,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
RHA,Streptococcus hansenii,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
RHA,Blautia hansenii,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
RHD,Rhodococcus sp.,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
RHI,Rhizomucor sp.,f,Fungus,No,2025-05-26,WHONET Organisms.txt
RHN,Rhinocladiella sp.,f,Fungus,No,2025-05-26,WHONET Organisms.txt
RHO,Rhodotorula sp.,f,Fungus,No,2025-05-26,WHONET Organisms.txt
RHV,Rhinovirus,v,Unknown,No,2025-05-26,WHONET Organisms.txt
RHZ,Rhizopus sp.,f,Fungus,No,2025-05-26,WHONET Organisms.txt
RIC,Rickettsia sp.,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
RIE,Riemerella sp.,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
RIK,Rikenella sp.,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
RIN,Retortamonas intestinalis,w,Other,No,2025-05-26,WHONET Organisms.txt
RJA,Rickettsia japonica,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
RMI,Cystobasidium minutum,f,Fungus,No,2025-05-26,WHONET Organisms.txt
RMI,Rhodotorula minuta,f,Fungus,No,2025-05-26,WHONET Organisms.txt
RMU,Rhodotorula mucilaginosa,f,Fungus,No,2025-05-26,WHONET Organisms.txt
RO4,Roseomonas genomospecies 4,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
RO5,Roseomonas genomospecies 5,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
RO6,Roseomonas genomospecies 6,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
ROB,Roseburia sp.,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
ROL,Rhizopus microsporus,f,Fungus,No,2025-05-26,WHONET Organisms.txt
ROL,Rhizopus microsporus var. oligosporus,f,Fungus,No,2025-05-26,WHONET Organisms.txt
ROR,Rhizopus oryzae,f,Fungus,No,2025-05-26,WHONET Organisms.txt
ROS,Roseomonas sp.,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
ROT,Rothia sp.,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
ROV,Pleurothecium obovoideum,f,Fungus,No,2025-05-26,WHONET Organisms.txt
ROV,Ramichloridium obovoideum,f,Fungus,No,2025-05-26,WHONET Organisms.txt
RPI,Rhodotorula pilimanae,f,Fungus,No,2025-05-26,WHONET Organisms.txt
RPR,Peptostreptococcus productus,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
RPR,Blautia producta,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
RPR,Ruminococcus productus,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
RPU,Rhizomucor pusillus,f,Fungus,No,2025-05-26,WHONET Organisms.txt
RPU,Mucor pusillus,f,Fungus,No,2025-05-26,WHONET Organisms.txt
RPW,Rickettsia prowazekii,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
RRH,Rhodococcus rhodochrous,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
RRI,Rickettsia rickettsii,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
RRU,Rhodotorula rubra,f,Fungus,No,2025-05-26,WHONET Organisms.txt
RRZ,Rhizopus microsporus var. rhizopodiformis,f,Fungus,No,2025-05-26,WHONET Organisms.txt
RST,Rhizopus stolonifer,f,Fungus,No,2025-05-26,WHONET Organisms.txt
RSV,Respiratory syncytial virus,v,Unknown,Yes,2025-05-26,WHONET Organisms.txt
RTV,Rotavirus,v,Unknown,No,2025-05-26,WHONET Organisms.txt
RUB,Ruminobacter sp.,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
RUM,Ruminococcus sp.,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
RUV,Rubella virus,v,Unknown,No,2025-05-26,WHONET Organisms.txt
RZO,Rhizobium sp.,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
S01,Shigella sonnei Form I,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
S02,Shigella sonnei Form II,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
SAA,Salmonella Paratyphi A,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
SAB,Salmonella Paratyphi B,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
SAB,Salmonella Schottmuelleri (S. Paratyphi B),-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
SAC,Salmonella Hirschfeldii (S. Paratyphi C),-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
SAC,Salmonella Paratyphi C,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
SAD,Streptococcus acidominimus,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
SAE,Staphylococcus arlettae,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
SAG,Salmonella Agona,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
SAH,Saccharopolyspora sp.,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
SAI,Staphylococcus auricularis,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
SAJ,Streptococcus adjacens,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
SAJ,Abiotrophia adiacens,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
SAJ,Granulicatella adiacens,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
SAK,Candida sake,f,Fungus,No,2025-05-26,WHONET Organisms.txt
SAL,Salmonella sp.,-,Gram-negative,Yes,2025-05-26,WHONET Organisms.txt
SAM,Salmonella Typhimurium,-,Gram-negative,Yes,2025-05-26,WHONET Organisms.txt
SAN,Streptococcus anginosus,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
SAO,Sarcinosporon sp.,f,Fungus,No,2025-05-26,WHONET Organisms.txt
SAP,Staphylococcus saprophyticus ss. saprophyticus,+,Gram-positive,Yes,2025-05-26,WHONET Organisms.txt
SAP,Staphylococcus saprophyticus,+,Gram-positive,Yes,2025-05-26,WHONET Organisms.txt
SAR,Sarcina sp.,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
SAS,Monosporium apoispermum,f,Fungus,No,2025-05-26,WHONET Organisms.txt
SAS,Scedosporium apiospermum,f,Fungus,No,2025-05-26,WHONET Organisms.txt
SAT,Salmonella Typhi,-,Gram-negative,Yes,2025-05-26,WHONET Organisms.txt
SAU,Staphylococcus aureus,+,Gram-positive,Yes,2025-05-26,WHONET Organisms.txt
SAU,Staphylococcus aureus ss. aureus,+,Gram-positive,Yes,2025-05-26,WHONET Organisms.txt
SAV,Salmonella Arechavaleta,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
SAY,Sarcocystis sp.,w,Other,No,2025-05-26,WHONET Organisms.txt
SB2,Streptococcus bovis II,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
SBA,Salmonella Bareilly,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
SBE,Shewanella benthica,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
SBG,Salmonella bongori,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
SBG,Salmonella subgroup 5,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
SBL,Salmonella Blockley,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
SBM,Salmonella Bovismorbificans,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
SBN,Salmonella Brandenburg,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
SBO,Streptococcus bovis,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
SBR,Salmonella Braenderup,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
SBT,Salmonella subterranea,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
SBV,Streptococcus bovis-variant,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
SBY,Stachybotrys sp.,f,Fungus,No,2025-05-26,WHONET Organisms.txt
SC+,"Staphylococcus, coagulase positive",+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
SCA,Staphylococcus capitis ss. capitis,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
SCA,Staphylococcus capitis,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
SCB,Scolecobasidium sp.,f,Fungus,No,2025-05-26,WHONET Organisms.txt
SCC,Streptococcus criceti,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
SCD,Scedosporium sp.,f,Fungus,No,2025-05-26,WHONET Organisms.txt
SCE,Saccharomyces cerevisiae,f,Fungus,No,2025-05-26,WHONET Organisms.txt
SCG,Staphylococcus chromogenes,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
SCH,Salmonella Choleraesuis,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
SCI,Schistosoma sp.,w,Other,No,2025-05-26,WHONET Organisms.txt
SCL,Staphylococcus caseolyticus,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
SCL,Macrococcus caseolyticus,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
SCM,Schistosoma mansoni,w,Other,No,2025-05-26,WHONET Organisms.txt
SCN,"Staphylococcus, coagulase negative",+,Gram-positive,Yes,2025-05-26,WHONET Organisms.txt
SCO,Scopulariopsis sp.,f,Fungus,No,2025-05-26,WHONET Organisms.txt
SCP,Staphylococcus caprae,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
SCR,Streptococcus cremoris,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
SCR,Lactococcus lactis ss. cremoris,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
SCS,Scolecobasidium constrictum,f,Fungus,No,2025-05-26,WHONET Organisms.txt
SCT,Streptococcus constellatus,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
SCU,Staphylococcus carnosus,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
SCY,Scytalidium sp.,f,Fungus,No,2025-05-26,WHONET Organisms.txt
SD1,Shigella dysenteriae Type 1,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
SDE,Staphylococcus delphini,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
SDF,Streptococcus defectivus,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
SDF,Abiotrophia defectiva,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
SDI,Salmonella subgroup 3b,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
SDI,Salmonella enterica ss. diarizonae (Subgroup IIIb),-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
SDM,Scytalidium dimidiatum,f,Fungus,No,2025-05-26,WHONET Organisms.txt
SDM,Neoscytalidium dimidiatum,f,Fungus,No,2025-05-26,WHONET Organisms.txt
SDN,Selenomonas dianae,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
SDO,Streptococcus downei,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
SDU,Salmonella Dublin,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
SDY,Streptococcus dysgalactiae ss. dysgalactiae,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
SDY,Streptococcus dysgalactiae,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
SE-,Serratia sp.,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
SEA,Selenomonas artemidis,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
SEB,Sebaldella sp.,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
SEC,Salmonella subgroup 1,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
SEC,Salmonella enterica ss. enterica (Subgroup I),-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
SEI,Streptococcus infantis,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
SEL,Selenomonas sp.,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
SEM,Serratia entomophila,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
SEN,Salmonella Enteritidis,-,Gram-negative,Yes,2025-05-26,WHONET Organisms.txt
SEP,Staphylococcus epidermidis,+,Gram-positive,Yes,2025-05-26,WHONET Organisms.txt
SEP,Staphylococcus albus,+,Gram-positive,Yes,2025-05-26,WHONET Organisms.txt
SEQ,Staphylococcus equorum,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
SET,Septata sp.,w,Other,No,2025-05-26,WHONET Organisms.txt
SET,Encephalitozoon,w,Other,No,2025-05-26,WHONET Organisms.txt
SEU,Serpulina sp.,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
SEU,Brachyspira,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
SFA,Salmonella Falkensee,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
SFE,Staphylococcus felis,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
SFI,Serratia ficaria,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
SFL,Selenomonas flueggei,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
SFO,Serratia fonticola,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
SFR,Streptococcus ferus,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
SGA,Salmonella Gallinarum,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
SGC,Streptococcus agalactiae,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
SGI,Salmonella Give,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
SGL,Staphylococcus gallinarum,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
SGM,"Streptococcus, non-haemolytic (gamma)",+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
SGO,Streptococcus gordonii,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
SGP,Salmonella Gallinarum biovar Pullorum,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
SGR,Serratia grimesii,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
SGS,Streptomyces griseus,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
SGU,Streptococcus parasanguinis,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
SGY,Streptococcus gallolyticus ss. gallolyticus,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
SGY,Streptococcus bovis I,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
SHA,Shigella dysenteriae,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
SHB,Shigella flexneri,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
SHC,Shigella boydii,-,Gram-negative,Yes,2025-05-26,WHONET Organisms.txt
SHD,Shigella sonnei,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
SHE,Shewanella sp.,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
SHF,Streptococcus hyointestinalis,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
SHG,Salmonella Heidelberg,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
SHI,Shigella sp.,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
SHL,Staphylococcus haemolyticus,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
SHM,Schistosoma haematobium,w,Other,No,2025-05-26,WHONET Organisms.txt
SHN,Alteromonas hanedai,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
SHN,Shewanella hanedai,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
SHO,Staphylococcus hominis ss. hominis,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
SHO,Staphylococcus hominis,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
SHR,Salmonella Hadar,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
SHS,Sarcocystis hominis,w,Other,No,2025-05-26,WHONET Organisms.txt
SHT,Salmonella subgroup 4,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
SHT,Salmonella enterica ss. houtenae (Subgroup IV),-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
SHU,Scolecobasidium humicola,f,Fungus,No,2025-05-26,WHONET Organisms.txt
SHY,Staphylococcus hyicus,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
SIA,Streptococcus infantarius,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
SIC,Schistosoma intercalatum,w,Other,No,2025-05-26,WHONET Organisms.txt
SID,Kingella indologenes,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
SID,Suttonella indologenes,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
SIE,Septata intestinalis,w,Other,No,2025-05-26,WHONET Organisms.txt
SIE,Encephalitozoon intestinalis,w,Other,No,2025-05-26,WHONET Organisms.txt
SIF,Scedosporium prolificans,f,Fungus,No,2025-05-26,WHONET Organisms.txt
SIF,Scedosporium inflatum,f,Fungus,No,2025-05-26,WHONET Organisms.txt
SII,Salmonella subgroup 6,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
SII,Salmonella enterica ss. indica (Subgoup VI),-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
SIK,Sarcinosporon inkin,f,Fungus,No,2025-05-26,WHONET Organisms.txt
SIK,Trichosporon inkin,f,Fungus,No,2025-05-26,WHONET Organisms.txt
SIL,Streptococcus infantarius ss. coli,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
SIM,Simonsiella sp.,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
SIN,Streptococcus intermedius,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
SIR,Streptococcus infantarius ss. infantarius,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
SIT,Staphylococcus intermedius,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
